<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VE1,20210827,3.9,4,3.8,4,5500
VE3,20210827,7.2,7.3,7.2,7.3,1400
VE4,20210827,34,34.5,34,34.5,5633
VGS,20210827,29,31,27.5,30.5,522675
VHE,20210827,8.2,8.9,8,8.6,580765
VIF,20210827,16,16.2,16,16.2,3100
VIG,20210827,5.7,6.2,5.4,6.2,3462533
VIT,20210827,14.5,14.5,13.6,13.7,20100
VKC,20210827,7.4,7.5,7.4,7.5,8000
VMC,20210827,10.1,10.5,10,10.3,38100
VMS,20210827,12.4,12.4,12.4,12.4,1000
VNC,20210827,32.6,32.6,32.6,32.6,259
VND,20210827,50.7,51,49.1,50.6,9444644
VNF,20210827,14.4,15,14,15,3300
VNR,20210827,24.2,25.6,24.2,24.8,157500
VSA,20210827,24,24.5,23.5,23.6,2602
VSM,20210827,20.9,20.9,20,20,1100
VTC,20210827,11,11,11,11,200
VTJ,20210827,4.8,4.8,4.2,4.6,1800
VTL,20210827,11.3,11.4,11.3,11.4,207
VTV,20210827,6,6.3,6,6.3,7900
WCS,20210827,180,182,180,182,550
WSS,20210827,10,10.7,9.5,10.7,359946
X20,20210827,9.2,9.4,9.2,9.4,300
