<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
LPT,20210827,16.6,16.6,14.2,14.7,116708
LTC,20210827,1.8,1.8,1.8,1.8,1000
LTG,20210827,37.5,38.6,37.1,38.6,732891
M10,20210827,19.2,19.2,19,19.2,1800
MA1,20210827,18.9,18.9,18.9,18.9,100
MCH,20210827,129.4,130,128.3,130,4800
MCM,20210827,52.9,54.5,52.7,54.5,98500
MDF,20210827,12.3,12.3,12.2,12.3,12600
MEC,20210827,3.7,3.7,3.2,3.2,4939
MFS,20210827,29,29.4,28.8,28.8,39554
MGC,20210827,12.7,12.7,12.7,12.7,2400
MH3,20210827,59,59.1,59,59.1,2700
MLS,20210827,38.5,39,38.5,38.7,5900
MML,20210827,74.5,78,74.1,76.9,42131
MPC,20210827,37.3,38.5,37.1,38.5,94899
MPT,20210827,1.4,1.5,1.3,1.4,544100
MQN,20210827,31,31,31,31,1300
MRF,20210827,56.8,57,56.5,56.6,1300
MSR,20210827,19.5,19.5,18.9,19.4,425941
MTA,20210827,7,7,6.8,7,46300
MTG,20210827,3.9,4.1,3.9,4.1,5400
MTP,20210827,13.2,15,13.2,15,21300
MVC,20210827,9.9,9.9,9.1,9.6,6200
MVN,20210827,51.1,51.1,46.1,49,50400
NAB,20210827,20,20,19.4,19.8,341559
NAW,20210827,8,8,8,8,600
NBE,20210827,10,10.5,10,10.5,3800
